t,prey,predator,dprey_dt,dpredator_dt,prey_pct_change,predator_pct_change
55.6,21.439061977153447,2.479344865776604,1.0808096329129087,-0.21225517733176302,5.041310268446793,-8.56093802284655
55.7,21.547869980807214,2.4583433868476043,1.0953457247213327,-0.207782379374587,5.083313226304791,-8.452130019192786
55.8,21.65813025738257,2.437786805748105,1.1098549421658364,-0.2033569999382211,5.124426388503791,-8.34186974261743
55.9,21.769840144716426,2.4176704276506085,1.1243380398204037,-0.19897814096956312,5.164659144698783,-8.230159855283576
56.0,21.882997051968307,2.397989648646502,1.1387956969571924,-0.19464489047413136,5.2040207027069965,-8.11700294803169
56.1,21.99759845962041,2.378739955746053,1.1532285182349031,-0.19035632286024684,5.242520088507894,-8.002401540379585
56.2,22.113641919477605,2.359916926878408,1.167637034333698,-0.18611149925649106,5.280166146243184,-7.886358080522394
56.3,22.231125043235878,2.3415162326292536,1.1820217011566372,-0.18190946820530074,5.316967534741492,-7.768874956764119
56.4,22.35004544121769,2.3235336454996247,1.196382892899473,-0.17774926803873925,5.352932709000751,-7.649954558782306
56.5,22.47040080775922,2.3059650268260876,1.2107209127467735,-0.17362992403325195,5.388069946347826,-7.529599192240778
56.6,22.592188851731123,2.288806337362315,1.2250359847985435,-0.1695504510214101,5.42238732527537,-7.407811148268875
56.7,22.71540728184881,2.272053639515855,1.2393282524286902,-0.16550985397666096,5.45589272096829,-7.284592718151186
56.8,22.840053806672422,2.255703097348136,1.253597778361061,-0.16150712805135015,5.488593805303728,-7.159946193327579
56.9,22.966126134606878,2.2397509765744585,1.2678445446983286,-0.15754125859115797,5.520498046851082,-7.033873865393119
57.0,23.0936219739018,2.2241936445640063,1.282068452903859,-0.1536112211260412,5.551612710871988,-6.906378026098199
57.1,23.222539032651586,2.2090275703398374,1.296269323736751,-0.14971598133774744,5.581944859320325,-6.77746096734841
57.2,23.352875018795373,2.194249324578888,1.310446897140199,-0.14585449500399705,5.611501350842225,-6.647124981204628
57.3,23.484627587827568,2.1798555847608183,1.3246008267156786,-0.14202570939470638,5.640288830478363,-6.515372412172431
57.4,23.617794343914735,2.165843134261729,1.3387306798680092,-0.13822856301678643,5.668313731476543,-6.382205656085264
57.5,23.75237288069402,2.1522088591189905,1.3528359412908555,-0.13446198434642387,5.69558228176202,-6.247627119305979
57.6,23.888360712108167,2.1389497555139076,1.3669160051149807,-0.13072489360625428,5.722100488972185,-6.111639287891832
57.7,24.0257552721202,2.1260629298011446,1.380970174321437,-0.12701620249505174,5.7478741403977125,-5.974244727879802
57.8,24.164553914713405,2.113545598508724,1.394997660143955,-0.12333481388892442,5.772908802982553,-5.835446085286592
57.9,24.30475391389138,2.1013950883380246,1.4089975814308235,-0.1196796215222502,5.797209823323951,-5.695246086108624
58.0,24.446352463677947,2.089608836163787,1.422968963966279,-0.11604950964837801,5.820782327672427,-5.5536475363220505
58.1,24.589346678117227,2.078184389034108,1.4369107397515046,-0.11244335268012318,5.843631221931785,-5.410653321882773
58.2,24.73373355015406,2.0671194077657145,1.450821742054817,-0.10886001584941984,5.865761184468571,-5.266266449845937
58.3,24.87950992394368,2.056411668316677,1.4647007022024012,-0.10529835539901955,5.887176663366646,-5.120490076056315
58.4,25.0266725553113,2.0460590572597614,1.4785462544337504,-0.10175721662923853,5.907881885480477,-4.973327444688697
58.5,25.175218033136353,2.036059579748495,1.492356926341149,-0.09823543543830515,5.927880840503011,-4.824781966863648
58.6,25.325142777566136,2.0264113596850972,1.5061311375544735,-0.09473183780445904,5.947177280629806,-4.674857222433864
58.7,25.47644304001582,2.0171126397204846,1.5198671985788845,-0.09124523920479655,5.965774720559032,-4.523556959984178
58.8,25.629114903168418,2.0081617812542674,1.5335633095985022,-0.08777444401711032,5.983676437491465,-4.370885096831578
58.9,25.783154280974838,1.99955726443475,1.5472175592461808,-0.08431824490477335,6.000885471130501,-4.2168457190251605
59.0,25.938556915911384,1.9912976884287108,1.5608279230345208,-0.08087542225030431,6.017404623142579,-4.061443084088614
59.1,26.09531829694692,1.9833817789221453,1.5743922531879282,-0.07744474542326163,6.033236442155709,-3.9046817030530763
59.2,26.25343372364567,1.9758083810593356,1.587908284709269,-0.07402497049015155,6.048383237881329,-3.7465662763543315
59.3,26.412898263929804,1.9685764651051187,1.6013736284412194,-0.07061484055565492,6.062847069789763,-3.587101736070192
59.4,26.573706715929607,1.9616851304577347,1.6147857650772819,-0.06721308587948083,6.076629739084532,-3.4262932840703897
59.5,26.735853607983415,1.9551336056488309,1.628142043504823,-0.06381842304788998,6.089732788702338,-3.26414639201658
59.6,26.899333198637652,1.9489212483434588,1.6414396791218548,-0.060429554132082286,6.102157503313084,-3.100666801362349
59.7,27.064139476646822,1.9430475453400757,1.6546757521278812,-0.05704516583362218,6.1139049093198485,-2.9358605233531754
59.8,27.230266160490036,1.9375121126242407,1.6678472057303753,-0.05366392862795799,6.124975774751519,-2.7697338395099633
59.9,27.397706622671347,1.9323147033508872,1.6809508353654985,-0.05028449755444786,6.1353705932982265,-2.6022933773286483
60.0,27.566453923419644,1.9274552032032848,1.6939832913707886,-0.04690551047539748,6.145089593593431,-2.433546076580357
60.1,27.73650079091425,1.922933633884445,1.7069410739491946,-0.04352558759421832,6.15413273223111,-2.2634992090857518
60.2,27.907839567090456,1.918750159453756,1.7198205243217524,-0.040143331642480184,6.162499681092488,-2.0921604329095396
60.3,28.080462207639492,1.9149050863269843,1.7326178226075188,-0.036757326819879976,6.170189827346031,-1.9195377923605028
60.4,28.25436028200859,1.911398863276274,1.7453289856882688,-0.03336613772658692,6.1772022734474525,-1.7456397179914076
60.5,28.429524973400923,1.908232081430146,1.7579498650588294,-0.029968308288412238,6.18353583713971,-1.5704750265990786
60.6,28.605947068535077,1.9054054755056258,1.7704761433252914,-0.02656236088757935,6.189189048988751,-1.394052931464924
60.7,28.783616865742456,1.9029199343006686,1.7829033202723608,-0.023146797139258046,6.194160131398664,-1.2163831342575429
60.8,28.96252424945248,1.900776491448368,1.7952267204179966,-0.01972009517088469,6.1984470171032635,-1.0374757505475154
60.9,29.142658606730492,1.8989763366270946,1.8074414790613869,-0.016280710182297042,6.202047326745812,-0.8573413932695105
61.0,29.32400880384276,1.8975208184962136,1.8195425366431184,-0.012827073678285172,6.204958363007574,-0.6759911961572382
61.1,29.506563186256503,1.8964114446960831,1.8315246362243516,-0.009357592208175336,6.2071771106078355,-0.49343681374349513
61.2,29.690309578639898,1.8956498818480558,1.8433823209683713,-0.005870646106607369,6.208700236303888,-0.30969042136009406
61.3,29.87523528407651,1.8952379556562455,1.8551099315168014,-0.002364588251448696,6.209524088687511,-0.12476471592349114
61.4,30.061326998963693,1.8951776616200076,1.866701591754561,0.0011622555849019056,6.209644676759985,0.06132699896369629
61.5,30.248570840135166,1.895471160892647,1.8781512102996276,0.0047115885891506615,6.209057678214708,0.24857084013516734
61.6,30.43695230527274,1.8961207863217537,1.8894524717610448,0.008285143486588598,6.2077584273564925,0.43695230527274476
61.7,30.626456216368172,1.8971290499869824,1.9005988259122881,0.011884682866169949,6.205741900026036,0.6264562163681747
61.8,30.81706671972317,1.8984986432000508,1.9115834848763193,0.015512000587983632,6.203002713599899,0.8170667197231746
61.9,31.008767285949418,1.9002324365047407,1.922399420339179,0.01916892317645935,6.19953512699052,1.008767285949417
62.0,31.201540708065554,1.9023334799310783,1.9330393605188447,0.022857311164531935,6.195333040137844,1.201540708065552
62.1,31.395369006324135,1.9048050154387914,1.9434957737364575,0.026579058816340595,6.190389969122418,1.3953690063241373
62.2,31.590233461009145,1.9076504720934813,1.9537608705921667,0.03033609612632948,6.184699055813037,1.590233461009146
62.3,31.786114551012286,1.9108734750054759,1.9638265917209294,0.03413038918850697,6.178253049989049,1.7861145510122887
62.4,31.98299190256699,1.9144778523240242,1.973684597286237,0.0379639407880239,6.171044295351952,1.9829919025669944
62.5,32.18084428924829,1.9184676352372945,1.9833262640541538,0.041838791864149405,6.163064729525411,2.180844289248298
