time,S,I,R
17.0,-2.874077526074793e-7,182.96429131669012,817.0357089707176
17.5,4.3879166382763586e-7,174.04101681982718,825.9589827413812
18.0,-4.9945569110300195e-8,165.55293673728644,834.447063312659
18.5,1.9370310074497036e-7,157.4788244952902,842.5211753110067
19.0,-9.03305403501402e-8,149.7984918708847,850.2015082194458
19.5,4.084362516086175e-7,142.49273271790176,857.507266873662
20.0,3.1932007289332624e-7,135.54328020810436,864.4567194725755
20.5,-3.452325741869201e-7,128.93275707792608,871.0672432673064
21.0,3.490646676650609e-7,122.64463163525403,877.3553680156812
21.5,4.048513099596682e-7,116.66318229543808,883.3368172997104
22.0,2.942755719167347e-7,110.97345184636004,889.0265478593643
22.5,-3.477091576317406e-7,105.56121336426109,894.4387869834479
23.0,3.2458591445398666e-7,100.41293158060397,899.58706809481
23.5,2.9968469203081757e-7,95.51573512889736,904.4842645714177
24.0,3.324976508661584e-7,90.8573777097677,909.1426219577345
24.5,2.1748018115692535e-7,86.42621120963258,913.5737885728871
25.0,-3.2402269636785767e-7,82.21115568374874,917.788844640274
25.5,2.5635980319099595e-7,78.20166974164214,921.798330001998
26.0,2.015090377623452e-7,74.38772934582249,925.6122704526683
26.5,-4.327644276608146e-9,70.75979717244054,929.2402028318869
27.0,1.0700116419560146e-7,67.3088010304538,932.6911988625449
27.5,3.580133198963763e-7,64.02611181042599,935.9738878315605
28.0,-1.8924770490085857e-7,60.90352202309697,939.0964781661505
28.5,9.527183223458958e-8,57.93322192724818,942.0667779774799
29.0,-2.45973896635673e-7,55.107785691968644,944.892214554005
29.5,2.409986099731154e-7,52.42014679132107,947.57985296768
30.0,2.792720568895737e-7,49.863586014102765,950.1364137066249
30.5,1.5620525300937335e-7,47.431710337863514,952.5682895059309
31.0,1.9650282635166735e-7,45.118438479442425,954.8815613240545
31.5,3.112764013848841e-7,42.91798614377018,957.0820135449532
32.0,4.6030893952148035e-8,40.82485151230555,959.1751484416633
32.5,-2.5446165345927204e-7,38.83380031012309,961.1661999443384
33.0,2.0976147430526987e-7,36.9398530643795,963.0601467258588
33.5,-1.6603476505461897e-7,35.13827554055428,964.8617246254803
34.0,2.0006490691803992e-7,33.424561258844534,966.5754385410904
34.5,-2.2843693040158966e-7,31.79442659338048,968.2055736350563
35.0,7.753997878168007e-8,30.2437938129752,969.7562061094847
35.5,2.1288726018593256e-7,28.76878644255859,971.231213344554
36.0,-4.254879628030126e-8,27.365716418934017,972.6342836236146
36.5,-1.721211242727535e-7,26.0310748133959,973.968925358725
37.0,-1.926568189221504e-7,24.761524343260984,975.2384758493955
37.5,-1.8430449849136952e-7,23.553890551890657,976.4461096324135
38.0,-1.7809112655731963e-7,22.405153757092133,977.5948464209987
38.5,-1.5761366725105904e-7,21.312441501856675,978.6875586557567
39.0,-8.007998341569114e-8,20.27302139327367,979.7269786868061
39.5,7.365635150935225e-8,19.284294321303737,980.7157056050396
40.0,1.6926155237466103e-7,18.34378808904799,981.6562117416902
40.5,-2.7771541432997583e-8,17.449151179070995,982.5508488487003
41.0,-1.2864174248718708e-7,16.598146134468454,983.401853994173
41.5,7.209088230747141e-8,15.788644799280847,984.211355128628
42.0,3.6988966542127295e-8,15.018623540348942,984.9813764226619
42.5,-1.022302468425779e-7,14.286156758951376,985.7138433432787
43.0,1.229513203759401e-7,13.589412454853878,986.4105874221946
43.5,-8.369950663059245e-8,12.926649187318832,987.0733508963805
44.0,6.056875721555356e-8,12.296208926547388,987.7037910128837
44.5,-5.52015952239896e-8,11.69651585310735,988.3034842020941
45.0,5.142533434377414e-8,11.12606993786711,988.8739300107073
45.5,-6.033125251369527e-8,10.583445206193195,989.4165548541379
46.0,7.625977291906778e-8,10.067284371518795,989.9327155522212
46.5,-5.88262829418582e-8,9.576297210767128,990.423702848059
47.0,4.358344524361879e-8,9.109255627964291,990.8907443284521
47.5,-2.1341104964952923e-9,8.66499197666314,991.3350080254708
48.0,-3.625249960374035e-8,8.242395373954439,991.7576046622979
48.5,5.283089222430462e-8,7.840408966926973,992.159590980242
49.0,-9.83201382024423e-9,7.458027647339552,992.5419723624923
49.5,-2.721037148889123e-8,7.094295390563096,992.9057046366471
50.0,3.2626267727667416e-8,6.748302561441097,993.2516974059325
50.5,1.0428723234752407e-8,6.419183836656024,993.5808161529151
51.0,-2.126095173229382e-8,6.106116414731793,993.893883606529
51.5,-4.032018094085842e-9,5.808317796140736,994.1916822078911
52.0,2.591260757576443e-8,5.525042863116273,994.4749571109709
52.5,5.916648370864495e-9,5.255582973358967,994.7444170207242
53.0,-1.0456801741892809e-8,4.999264813099568,995.000735197357
53.5,-7.3394541913993975e-9,4.755448096560683,995.2445519107786
54.0,8.802313928025575e-9,4.523522538269369,995.4764774529282
54.5,1.2066793323852092e-8,4.30290773384559,995.6970922540875
55.0,2.8575357453543435e-9,4.093051167048926,995.9069488300934
55.5,-3.1848788092215475e-9,3.8934298086827415,996.106570194502
56.0,-3.820106504469408e-9,3.7035453776125182,996.2964546262074
56.5,2.054113251117365e-10,3.522922388866837,996.4770776109275
57.0,5.158448175107425e-9,3.3511081536373903,996.648891841204
57.5,4.892585746530349e-9,3.187672469123565,996.8123275259836
58.0,2.559805994217389e-9,3.0322042000122646,996.9677957974277
58.5,9.046481179803834e-10,2.8843179160928845,997.1156820830023
59.0,-1.2982589638834818e-12,2.7436464346401257,997.256353565361
59.5,-2.03619611100665e-10,2.6098383273434917,997.3901616728599
60.0,1.3492148938406772e-10,2.4825579203072894,997.5174420795576
60.5,7.34386372599834e-10,2.361485294050632,997.6385147052148
61.0,1.1976602709578075e-9,2.2463162835074297,997.7536837152948
61.5,1.0623528239633518e-9,2.1367620727511736,997.8632379261862
62.0,7.811534529249584e-10,2.032544653839619,997.967455345379
62.5,5.939412806017599e-10,1.9334075375443962,998.0665924618614
63.0,4.70100896391709e-10,1.8391072543388047,998.1608927451908
63.5,3.8508912447802716e-10,1.749410010795558,998.2505899888191
64.0,3.204350238291406e-10,1.6640916895867823,998.3359083100926
64.5,2.6373988819872094e-10,1.5829378494840178,998.417062150252
65.0,2.0867724612582882e-10,1.5057437253582149,998.4942562744329
65.5,1.5499286093448752e-10,1.4323142281797434,998.5676857716651
66.0,1.0850473073434893e-10,1.3624639450183766,998.6375360548728
66.5,8.09269583520496e-11,1.2960171076186127,998.7039828923001
67.0,6.700708606812177e-11,1.2328054528109462,998.7671945471218
67.5,5.6176041255512384e-11,1.1726735573427176,998.8273264426008
68.0,4.772335475123215e-11,1.1154748228757032,998.8845251770763
68.5,4.104624137305574e-11,1.0610682720913283,998.9389317278674
69.0,3.564959991952055e-11,1.0093185486906673,998.9906814512734
69.5,3.114601316992888e-11,0.9600959173944418,999.0399040825741
70.0,2.7255747884345668e-11,0.9132762639430232,999.0867237360294
70.5,2.3806754803598676e-11,0.8687410950964326,999.1312589048795
71.0,2.073466864928237e-11,0.8263775386343357,999.1736224613446
71.5,1.8082808123752688e-11,0.7860783433560492,999.2139216566256
72.0,1.599641707421689e-11,0.7477418250469042,999.2522581749369
72.5,1.4338214671275312e-11,0.711270038961955,999.2887299610235
73.0,1.2925336501550588e-11,0.6765739046499722,999.3234260953369
73.5,1.1719131114524726e-11,0.6435697611972422,999.3564302387908
74.0,1.0685168333608022e-11,0.6121769939621107,999.387823006027
74.5,9.793239256139087e-12,0.5823180345749829,999.417681965415
75.0,9.017356253384762e-12,0.5539183609383246,999.4460816390524
75.5,8.335752970540253e-12,0.5269064972266603,999.4730935027648
76.0,7.730884326728994e-12,0.5012140138865754,999.4987859861054
76.5,7.1894265150027185e-12,0.4767755276367145,999.5232244723559
77.0,6.702277002341432e-12,0.4535287014677828,999.5464712985253
77.5,6.2645545296535664e-12,0.43141424464254235,999.5685857553509
78.0,5.875599111775603e-12,0.41037591269581947,999.589624087298
78.5,5.532823848079124e-12,0.3903601070541724,999.6096398929401
79.0,5.225321518286616e-12,0.3713174888590622,999.6286825111355
79.5,4.949005602767374e-12,0.3532026910662677,999.6467973089285
80.0,4.70029098711175e-12,0.33597195731731766,999.6640280426777
80.5,4.475907131615401e-12,0.3195831107635959,999.6804168892317
81.0,4.272898071279281e-12,0.3039955540663408,999.6960044459291
81.5,4.08862241580965e-12,0.2891702693966459,999.710829730599
82.0,3.920753349618066e-12,0.2750698184354599,999.7249301815604
82.5,3.767278631821387e-12,0.26165834237358543,999.7383416576224
83.0,3.6265005962417767e-12,0.24890156191168086,999.7510984380845
83.5,3.497036151406699e-12,0.23676677726025994,999.7632332227361
84.0,3.3778167805489166e-12,0.22522286813968995,999.7747771318567
84.5,3.2680885416064958e-12,0.21424029378019413,999.7857597062163
85.0,3.1671872591575372e-12,0.20379094867598588,999.7962090513206
85.5,3.0740582133957014e-12,0.19384901961465692,999.8061509803821
86.0,2.9880261941314088e-12,0.1843910806338336,999.815608919363
86.5,2.908482615728433e-12,0.17539453593628995,999.8246054640606
87.0,2.834860199596555e-12,0.16683757038261618,999.8331624296143
87.5,2.7666329741915663e-12,0.1586991494912194,999.8413008505058
88.0,2.703316275015262e-12,0.15095901943832296,999.8490409805587
88.5,2.6444667446154517e-12,0.14359770705796682,999.8564022929392
89.0,2.589682332585947e-12,0.13659651984200738,999.8634034801552
89.5,2.5386022955665706e-12,0.1299375459401175,999.8700624540571
90.0,2.490907197243154e-12,0.12360365415978673,999.8763963458375
90.5,2.4463189083475378e-12,0.11757849396632143,999.882421506031
91.0,2.4046006066575644e-12,0.11184649548284335,999.8881535045145
91.5,2.365556776997092e-12,0.10639286949029189,999.8936071305071
92.0,2.329009875999495e-12,0.10120361643736331,999.8987963835601
92.5,2.2947550321337205e-12,0.09626612091965252,999.9037338790778
93.0,2.2626367341366577e-12,0.09156885521316865,999.9084311447843
93.5,2.23251014982553e-12,0.08710068123136964,999.9128993187662
94.0,2.2042383597318528e-12,0.08285083445973775,999.9171491655378
94.5,2.1776923571014315e-12,0.07880892395577938,999.9211910760419
95.0,2.1527510478943628e-12,0.07496493234902527,999.9250350676485
95.5,2.1293012507850337e-12,0.07130921584103041,999.9286907841566
96.0,2.1072376971621228e-12,0.06783250420537407,999.9321674957923
96.5,2.086463031128599e-12,0.06452590078765963,999.9354740992101
97.0,2.0668878095017226e-12,0.06138088250551488,999.9386191174922
97.5,2.048430501813045e-12,0.05838929984859186,999.9416107001491
98.0,2.0310174903084067e-12,0.05554337687856677,999.9444566231192
98.5,2.014583069947942e-12,0.05283571122914023,999.9471642887686
99.0,1.9990694361741458e-12,0.05025927944319339,999.9497407205545
99.5,1.9844231517567365e-12,0.04780810539674977,999.952191894601
100.0,1.9705907720114647e-12,0.04547647665462792,999.9545235233431
